 Fre(Hz),  er,  ei,  ur,  ui
8671562500.0000,2.0250,0.0292,1.0210,0.0225
8674125000.0000,2.0301,0.0272,1.0221,0.0183
8676687500.0000,2.0287,0.0267,1.0211,0.0205
8679250000.0000,2.0281,0.0295,1.0185,0.0189
8681812500.0000,2.0275,0.0294,1.0180,0.0205
8684375000.0000,2.0285,0.0298,1.0182,0.0203
8686937500.0000,2.0282,0.0276,1.0197,0.0199
8689500000.0000,2.0290,0.0277,1.0203,0.0163
8692062500.0000,2.0298,0.0311,1.0166,0.0182
8694625000.0000,2.0279,0.0309,1.0176,0.0222
8697187500.0000,2.0252,0.0304,1.0212,0.0230
8699750000.0000,2.0255,0.0323,1.0180,0.0255
8702312500.0000,2.0240,0.0288,1.0219,0.0220
8704875000.0000,2.0242,0.0309,1.0203,0.0262
8707437500.0000,2.0269,0.0300,1.0200,0.0224
8710000000.0000,2.0280,0.0306,1.0173,0.0177
8712562500.0000,2.0276,0.0324,1.0201,0.0211
8715125000.0000,2.0290,0.0320,1.0161,0.0236
8717687500.0000,2.0254,0.0318,1.0220,0.0252
8720250000.0000,2.0243,0.0319,1.0196,0.0211
8722812500.0000,2.0287,0.0303,1.0159,0.0187
8725375000.0000,2.0291,0.0316,1.0171,0.0236
8727937500.0000,2.0279,0.0259,1.0196,0.0200
8730500000.0000,2.0278,0.0322,1.0207,0.0221
8733062500.0000,2.0285,0.0283,1.0174,0.0229
8735625000.0000,2.0242,0.0270,1.0190,0.0231
8738187500.0000,2.0245,0.0300,1.0192,0.0206
8740750000.0000,2.0265,0.0298,1.0169,0.0244
8743312500.0000,2.0248,0.0291,1.0152,0.0181
8745875000.0000,2.0297,0.0258,1.0184,0.0206
8748437500.0000,2.0293,0.0234,1.0195,0.0189
8751000000.0000,2.0265,0.0271,1.0191,0.0199
8753562500.0000,2.0276,0.0322,1.0172,0.0210
8756125000.0000,2.0314,0.0275,1.0182,0.0170
8758687500.0000,2.0291,0.0289,1.0178,0.0183
8761250000.0000,2.0273,0.0268,1.0201,0.0165
8763812500.0000,2.0282,0.0265,1.0200,0.0180
8766375000.0000,2.0265,0.0275,1.0198,0.0202
8768937500.0000,2.0274,0.0312,1.0166,0.0228
8771500000.0000,2.0271,0.0294,1.0184,0.0230
8774062500.0000,2.0271,0.0228,1.0240,0.0176
8776625000.0000,2.0280,0.0263,1.0210,0.0199
8779187500.0000,2.0269,0.0292,1.0196,0.0223
8781750000.0000,2.0334,0.0296,1.0122,0.0167
8784312500.0000,2.0271,0.0316,1.0199,0.0223
8786875000.0000,2.0301,0.0309,1.0162,0.0183
8789437500.0000,2.0268,0.0325,1.0206,0.0287
8792000000.0000,2.0291,0.0309,1.0195,0.0245
8794562500.0000,2.0318,0.0289,1.0193,0.0205
8797125000.0000,2.0263,0.0282,1.0229,0.0200
8799687500.0000,2.0314,0.0323,1.0186,0.0211
8802250000.0000,2.0284,0.0303,1.0171,0.0216
8804812500.0000,2.0267,0.0349,1.0200,0.0227
8807375000.0000,2.0283,0.0297,1.0210,0.0202
8809937500.0000,2.0289,0.0288,1.0203,0.0205
8812500000.0000,2.0305,0.0299,1.0184,0.0206
8815062500.0000,2.0303,0.0303,1.0193,0.0185
8817625000.0000,2.0248,0.0308,1.0191,0.0164
8820187500.0000,2.0308,0.0289,1.0202,0.0219
8822750000.0000,2.0257,0.0292,1.0181,0.0226
8825312500.0000,2.0290,0.0329,1.0180,0.0198
8827875000.0000,2.0246,0.0294,1.0160,0.0202
8830437500.0000,2.0276,0.0332,1.0194,0.0204
8833000000.0000,2.0266,0.0322,1.0194,0.0223
8835562500.0000,2.0282,0.0310,1.0202,0.0236
8838125000.0000,2.0301,0.0293,1.0223,0.0210
8840687500.0000,2.0280,0.0348,1.0183,0.0231
8843250000.0000,2.0294,0.0318,1.0204,0.0220
8845812500.0000,2.0253,0.0306,1.0214,0.0226
8848375000.0000,2.0300,0.0293,1.0201,0.0198
8850937500.0000,2.0263,0.0291,1.0192,0.0218
8853500000.0000,2.0266,0.0285,1.0220,0.0195
8856062500.0000,2.0280,0.0309,1.0181,0.0232
8858625000.0000,2.0268,0.0319,1.0203,0.0199
8861187500.0000,2.0282,0.0303,1.0214,0.0219
8863750000.0000,2.0253,0.0307,1.0191,0.0256
8866312500.0000,2.0282,0.0317,1.0195,0.0209
8868875000.0000,2.0273,0.0306,1.0201,0.0208
8871437500.0000,2.0294,0.0290,1.0170,0.0170
8874000000.0000,2.0288,0.0279,1.0196,0.0227
8876562500.0000,2.0248,0.0256,1.0222,0.0220
8879125000.0000,2.0355,0.0281,1.0173,0.0222
8881687500.0000,2.0304,0.0274,1.0211,0.0211
8884250000.0000,2.0309,0.0293,1.0191,0.0183
8886812500.0000,2.0311,0.0263,1.0216,0.0216
8889375000.0000,2.0305,0.0280,1.0237,0.0170
8891937500.0000,2.0327,0.0309,1.0242,0.0159
8894500000.0000,2.0297,0.0257,1.0196,0.0213
8897062500.0000,2.0326,0.0325,1.0191,0.0195
8899625000.0000,2.0275,0.0323,1.0176,0.0220
8902187500.0000,2.0320,0.0315,1.0192,0.0211
8904750000.0000,2.0286,0.0298,1.0193,0.0224
8907312500.0000,2.0285,0.0309,1.0199,0.0179
8909875000.0000,2.0305,0.0262,1.0225,0.0233
8912437500.0000,2.0324,0.0303,1.0210,0.0207
8915000000.0000,2.0328,0.0335,1.0185,0.0193
8917562500.0000,2.0346,0.0291,1.0243,0.0204
8920125000.0000,2.0332,0.0315,1.0196,0.0184
8922687500.0000,2.0306,0.0299,1.0189,0.0223
8925250000.0000,2.0323,0.0334,1.0184,0.0188
8927812500.0000,2.0307,0.0291,1.0216,0.0217
8930375000.0000,2.0296,0.0325,1.0187,0.0215
8932937500.0000,2.0300,0.0322,1.0182,0.0234
8935500000.0000,2.0285,0.0311,1.0209,0.0231
8938062500.0000,2.0300,0.0319,1.0203,0.0211
8940625000.0000,2.0299,0.0290,1.0207,0.0224
8943187500.0000,2.0297,0.0291,1.0221,0.0209
8945750000.0000,2.0321,0.0335,1.0221,0.0224
8948312500.0000,2.0342,0.0275,1.0205,0.0219
8950875000.0000,2.0307,0.0299,1.0198,0.0196
8953437500.0000,2.0297,0.0331,1.0226,0.0197
8956000000.0000,2.0267,0.0313,1.0180,0.0169
8958562500.0000,2.0259,0.0317,1.0198,0.0200
8961125000.0000,2.0263,0.0321,1.0200,0.0280
8963687500.0000,2.0319,0.0334,1.0210,0.0198
8966250000.0000,2.0234,0.0306,1.0210,0.0242
8968812500.0000,2.0273,0.0311,1.0231,0.0225
8971375000.0000,2.0282,0.0308,1.0204,0.0195
8973937500.0000,2.0297,0.0313,1.0193,0.0238
8976500000.0000,2.0324,0.0340,1.0222,0.0213
8979062500.0000,2.0301,0.0297,1.0182,0.0224
8981625000.0000,2.0312,0.0357,1.0210,0.0202
8984187500.0000,2.0326,0.0309,1.0208,0.0230
8986750000.0000,2.0304,0.0320,1.0209,0.0202
8989312500.0000,2.0285,0.0317,1.0162,0.0193
8991875000.0000,2.0321,0.0309,1.0227,0.0212
8994437500.0000,2.0298,0.0310,1.0182,0.0230
8997000000.0000,2.0323,0.0317,1.0212,0.0196
8999562500.0000,2.0296,0.0324,1.0174,0.0198
9002125000.0000,2.0335,0.0320,1.0192,0.0183
9004687500.0000,2.0309,0.0304,1.0169,0.0240
9007250000.0000,2.0294,0.0313,1.0190,0.0231
9009812500.0000,2.0293,0.0317,1.0181,0.0203
9012375000.0000,2.0297,0.0308,1.0176,0.0227
9014937500.0000,2.0308,0.0303,1.0205,0.0243
9017500000.0000,2.0313,0.0325,1.0191,0.0221
9020062500.0000,2.0310,0.0329,1.0171,0.0212
9022625000.0000,2.0330,0.0335,1.0166,0.0213
9025187500.0000,2.0300,0.0329,1.0195,0.0242
9027750000.0000,2.0301,0.0328,1.0220,0.0237
9030312500.0000,2.0317,0.0322,1.0213,0.0195
9032875000.0000,2.0318,0.0324,1.0183,0.0241
9035437500.0000,2.0320,0.0304,1.0190,0.0249
9038000000.0000,2.0299,0.0320,1.0185,0.0235
9040562500.0000,2.0327,0.0340,1.0224,0.0205
9043125000.0000,2.0308,0.0338,1.0210,0.0238
9045687500.0000,2.0307,0.0337,1.0194,0.0212
9048250000.0000,2.0358,0.0344,1.0259,0.0212
9050812500.0000,2.0320,0.0338,1.0168,0.0220
9053375000.0000,2.0347,0.0334,1.0218,0.0222
9055937500.0000,2.0329,0.0343,1.0210,0.0186
9058500000.0000,2.0326,0.0328,1.0156,0.0239
9061062500.0000,2.0326,0.0333,1.0182,0.0253
9063625000.0000,2.0302,0.0340,1.0195,0.0228
9066187500.0000,2.0351,0.0329,1.0240,0.0212
9068750000.0000,2.0345,0.0332,1.0174,0.0222
9071312500.0000,2.0317,0.0333,1.0168,0.0200
9073875000.0000,2.0334,0.0333,1.0195,0.0191
9076437500.0000,2.0337,0.0342,1.0144,0.0193
9079000000.0000,2.0329,0.0328,1.0160,0.0229
9081562500.0000,2.0313,0.0336,1.0173,0.0214
9084125000.0000,2.0331,0.0322,1.0196,0.0197
9086687500.0000,2.0318,0.0312,1.0201,0.0239
9089250000.0000,2.0331,0.0328,1.0203,0.0251
9091812500.0000,2.0337,0.0334,1.0193,0.0191
9094375000.0000,2.0369,0.0331,1.0183,0.0210
9096937500.0000,2.0346,0.0342,1.0182,0.0190
9099500000.0000,2.0338,0.0321,1.0165,0.0198
9102062500.0000,2.0323,0.0320,1.0202,0.0217
9104625000.0000,2.0328,0.0314,1.0202,0.0190
9107187500.0000,2.0316,0.0326,1.0188,0.0183
9109750000.0000,2.0328,0.0320,1.0159,0.0221
9112312500.0000,2.0342,0.0351,1.0149,0.0176
9114875000.0000,2.0310,0.0340,1.0177,0.0171
9117437500.0000,2.0324,0.0310,1.0178,0.0225
9120000000.0000,2.0285,0.0310,1.0135,0.0257
9122562500.0000,2.0318,0.0330,1.0178,0.0161
9125125000.0000,2.0339,0.0339,1.0151,0.0131
9127687500.0000,2.0341,0.0329,1.0175,0.0210
9130250000.0000,2.0327,0.0335,1.0128,0.0212
9132812500.0000,2.0319,0.0316,1.0176,0.0189
9135375000.0000,2.0325,0.0324,1.0202,0.0181
9137937500.0000,2.0322,0.0327,1.0201,0.0242
9140500000.0000,2.0327,0.0312,1.0194,0.0221
9143062500.0000,2.0333,0.0303,1.0124,0.0237
9145625000.0000,2.0329,0.0303,1.0193,0.0265
9148187500.0000,2.0306,0.0308,1.0136,0.0235
9150750000.0000,2.0312,0.0326,1.0233,0.0190
9153312500.0000,2.0320,0.0324,1.0198,0.0205
9155875000.0000,2.0311,0.0338,1.0202,0.0213
9158437500.0000,2.0315,0.0308,1.0169,0.0207
9161000000.0000,2.0300,0.0314,1.0159,0.0181
9163562500.0000,2.0304,0.0325,1.0171,0.0245
9166125000.0000,2.0339,0.0345,1.0203,0.0210
9168687500.0000,2.0332,0.0310,1.0194,0.0214
9171250000.0000,2.0342,0.0335,1.0206,0.0230
9173812500.0000,2.0336,0.0333,1.0199,0.0200
9176375000.0000,2.0381,0.0341,1.0179,0.0169
9178937500.0000,2.0375,0.0369,1.0140,0.0203
9181500000.0000,2.0313,0.0324,1.0182,0.0241
9184062500.0000,2.0338,0.0304,1.0181,0.0261
9186625000.0000,2.0346,0.0348,1.0186,0.0229
9189187500.0000,2.0371,0.0307,1.0195,0.0219
9191750000.0000,2.0335,0.0342,1.0165,0.0229
9194312500.0000,2.0386,0.0320,1.0213,0.0198
9196875000.0000,2.0331,0.0336,1.0177,0.0213
9199437500.0000,2.0374,0.0345,1.0146,0.0228
9202000000.0000,2.0327,0.0337,1.0158,0.0227
9204562500.0000,2.0344,0.0340,1.0184,0.0217
9207125000.0000,2.0352,0.0359,1.0171,0.0226
9209687500.0000,2.0348,0.0356,1.0173,0.0239
9212250000.0000,2.0356,0.0357,1.0231,0.0212
9214812500.0000,2.0326,0.0350,1.0235,0.0232
9217375000.0000,2.0345,0.0356,1.0171,0.0265
9219937500.0000,2.0349,0.0346,1.0155,0.0195
9222500000.0000,2.0356,0.0339,1.0158,0.0202
9225062500.0000,2.0350,0.0347,1.0149,0.0231
9227625000.0000,2.0336,0.0343,1.0171,0.0220
9230187500.0000,2.0339,0.0343,1.0202,0.0252
9232750000.0000,2.0337,0.0340,1.0198,0.0222
9235312500.0000,2.0338,0.0340,1.0209,0.0228
9237875000.0000,2.0344,0.0334,1.0186,0.0172
9240437500.0000,2.0345,0.0349,1.0188,0.0214
9243000000.0000,2.0323,0.0350,1.0179,0.0224
9245562500.0000,2.0324,0.0327,1.0166,0.0203
9248125000.0000,2.0356,0.0340,1.0139,0.0184
9250687500.0000,2.0362,0.0350,1.0142,0.0204
9253250000.0000,2.0303,0.0339,1.0196,0.0235
9255812500.0000,2.0345,0.0324,1.0195,0.0217
9258375000.0000,2.0339,0.0304,1.0176,0.0199
9260937500.0000,2.0364,0.0325,1.0165,0.0170
9263500000.0000,2.0322,0.0343,1.0173,0.0195
9266062500.0000,2.0311,0.0310,1.0167,0.0256
9268625000.0000,2.0366,0.0314,1.0198,0.0225
9271187500.0000,2.0304,0.0351,1.0166,0.0218
9273750000.0000,2.0380,0.0318,1.0171,0.0175
9276312500.0000,2.0338,0.0351,1.0163,0.0196
9278875000.0000,2.0377,0.0342,1.0133,0.0219
9281437500.0000,2.0331,0.0326,1.0187,0.0263
9284000000.0000,2.0335,0.0315,1.0117,0.0218
9286562500.0000,2.0377,0.0344,1.0167,0.0238
9289125000.0000,2.0359,0.0334,1.0203,0.0215
9291687500.0000,2.0408,0.0343,1.0142,0.0205
9294250000.0000,2.0354,0.0305,1.0211,0.0216
9296812500.0000,2.0368,0.0325,1.0171,0.0218
9299375000.0000,2.0372,0.0338,1.0142,0.0211
9301937500.0000,2.0360,0.0342,1.0105,0.0210
9304500000.0000,2.0350,0.0363,1.0172,0.0276
9307062500.0000,2.0349,0.0334,1.0192,0.0164
9309625000.0000,2.0342,0.0332,1.0191,0.0227
9312187500.0000,2.0363,0.0312,1.0172,0.0198
9314750000.0000,2.0330,0.0323,1.0146,0.0211
9317312500.0000,2.0373,0.0401,1.0137,0.0232
9319875000.0000,2.0367,0.0340,1.0173,0.0208
9322437500.0000,2.0351,0.0284,1.0158,0.0223
9325000000.0000,2.0362,0.0313,1.0132,0.0233
9327562500.0000,2.0334,0.0358,1.0154,0.0184
9330125000.0000,2.0371,0.0303,1.0150,0.0247
9332687500.0000,2.0331,0.0379,1.0133,0.0251
9335250000.0000,2.0345,0.0330,1.0118,0.0208
9337812500.0000,2.0378,0.0335,1.0135,0.0215
9340375000.0000,2.0342,0.0361,1.0160,0.0241
9342937500.0000,2.0342,0.0313,1.0189,0.0232
9345500000.0000,2.0339,0.0348,1.0154,0.0233
9348062500.0000,2.0355,0.0332,1.0150,0.0219
9350625000.0000,2.0351,0.0353,1.0139,0.0224
9353187500.0000,2.0389,0.0333,1.0160,0.0186
9355750000.0000,2.0249,0.0328,1.0190,0.0273
9358312500.0000,2.0355,0.0306,1.0175,0.0207
9360875000.0000,2.0349,0.0328,1.0146,0.0228
9363437500.0000,2.0341,0.0335,1.0180,0.0229
9366000000.0000,2.0385,0.0364,1.0150,0.0217
9368562500.0000,2.0355,0.0360,1.0127,0.0240
9371125000.0000,2.0378,0.0324,1.0136,0.0219
9373687500.0000,2.0355,0.0326,1.0138,0.0238
9376250000.0000,2.0371,0.0289,1.0190,0.0188
9378812500.0000,2.0354,0.0356,1.0123,0.0244
9381375000.0000,2.0369,0.0302,1.0147,0.0191
9383937500.0000,2.0365,0.0308,1.0148,0.0202
9386500000.0000,2.0351,0.0289,1.0149,0.0145
9389062500.0000,2.0352,0.0298,1.0175,0.0199
9391625000.0000,2.0351,0.0341,1.0148,0.0207
9394187500.0000,2.0396,0.0334,1.0152,0.0280
9396750000.0000,2.0390,0.0320,1.0134,0.0210
9399312500.0000,2.0354,0.0296,1.0138,0.0223
9401875000.0000,2.0385,0.0312,1.0105,0.0223
9404437500.0000,2.0363,0.0363,1.0147,0.0194
9407000000.0000,2.0377,0.0337,1.0174,0.0187
9409562500.0000,2.0383,0.0306,1.0146,0.0228
9412125000.0000,2.0369,0.0340,1.0123,0.0177
9414687500.0000,2.0354,0.0290,1.0137,0.0190
9417250000.0000,2.0406,0.0309,1.0131,0.0214
9419812500.0000,2.0367,0.0356,1.0137,0.0185
9422375000.0000,2.0422,0.0327,1.0156,0.0181
9424937500.0000,2.0336,0.0324,1.0151,0.0216
9427500000.0000,2.0329,0.0319,1.0145,0.0217
9430062500.0000,2.0401,0.0299,1.0149,0.0205
9432625000.0000,2.0370,0.0339,1.0134,0.0209
9435187500.0000,2.0393,0.0329,1.0163,0.0183
9437750000.0000,2.0391,0.0324,1.0163,0.0196
9440312500.0000,2.0390,0.0346,1.0147,0.0204
9442875000.0000,2.0378,0.0365,1.0110,0.0203
9445437500.0000,2.0369,0.0343,1.0132,0.0214
9448000000.0000,2.0368,0.0355,1.0143,0.0202
9450562500.0000,2.0363,0.0347,1.0140,0.0195
9453125000.0000,2.0363,0.0360,1.0144,0.0211
9455687500.0000,2.0395,0.0344,1.0122,0.0209
9458250000.0000,2.0422,0.0344,1.0092,0.0175
9460812500.0000,2.0374,0.0372,1.0120,0.0202
9463375000.0000,2.0387,0.0348,1.0148,0.0214
9465937500.0000,2.0396,0.0349,1.0122,0.0210
9468500000.0000,2.0323,0.0364,1.0181,0.0229
9471062500.0000,2.0335,0.0369,1.0169,0.0231
9473625000.0000,2.0333,0.0392,1.0155,0.0238
9476187500.0000,2.0302,0.0297,1.0147,0.0176
9478750000.0000,2.0329,0.0377,1.0147,0.0226
9481312500.0000,2.0317,0.0336,1.0144,0.0229
9483875000.0000,2.0314,0.0315,1.0136,0.0245
9486437500.0000,2.0330,0.0332,1.0186,0.0234
9489000000.0000,2.0397,0.0291,1.0126,0.0209
9491562500.0000,2.0369,0.0316,1.0166,0.0212
9494125000.0000,2.0344,0.0334,1.0156,0.0243
9496687500.0000,2.0318,0.0318,1.0186,0.0210
9499250000.0000,2.0381,0.0332,1.0140,0.0216
9501812500.0000,2.0357,0.0369,1.0138,0.0212
9504375000.0000,2.0352,0.0306,1.0145,0.0256
9506937500.0000,2.0392,0.0381,1.0128,0.0206
9509500000.0000,2.0362,0.0343,1.0127,0.0222
9512062500.0000,2.0329,0.0317,1.0151,0.0241
9514625000.0000,2.0323,0.0342,1.0147,0.0211
9517187500.0000,2.0365,0.0346,1.0157,0.0191
9519750000.0000,2.0354,0.0345,1.0143,0.0196
9522312500.0000,2.0364,0.0318,1.0170,0.0196
9524875000.0000,2.0365,0.0312,1.0166,0.0192
9527437500.0000,2.0355,0.0336,1.0138,0.0193
9530000000.0000,2.0360,0.0334,1.0137,0.0198
9532562500.0000,2.0378,0.0349,1.0119,0.0204
9535125000.0000,2.0386,0.0310,1.0161,0.0160
9537687500.0000,2.0371,0.0320,1.0142,0.0193
9540250000.0000,2.0363,0.0342,1.0126,0.0203
9542812500.0000,2.0373,0.0353,1.0135,0.0216
9545375000.0000,2.0419,0.0316,1.0110,0.0180
9547937500.0000,2.0376,0.0362,1.0139,0.0217
9550500000.0000,2.0388,0.0358,1.0112,0.0208
9553062500.0000,2.0389,0.0349,1.0118,0.0193
9555625000.0000,2.0366,0.0354,1.0190,0.0201
9558187500.0000,2.0365,0.0324,1.0155,0.0211
9560750000.0000,2.0375,0.0342,1.0129,0.0205
9563312500.0000,2.0337,0.0345,1.0148,0.0205
9565875000.0000,2.0358,0.0344,1.0127,0.0214
9568437500.0000,2.0342,0.0332,1.0105,0.0220
9571000000.0000,2.0367,0.0380,1.0138,0.0224
